"geo","OBS_VALUE"
"AT",7.7
"BE",9.9
"BG",13.4
"CH",2.7
"CY",8.8
"CZ",15.2
"DE",8.7
"DK",8.2
"EA",8.1
"EE",20.1
"EEA",8.8
"EL",10.5
"ES",8.5
"EU",8.8
"FI",7.1
"FR",5.8
"HR",10.7
"HU",10.8
"IE",8.3
"IS",5.4
"IT",7.3
"LT",18.5
"LU",9.1
"LV",16.8
"MK",11.9
"MT",5.8
"NL",10.2
"NO",6.2
"PL",12.8
"PT",8.1
"RO",12.4
"RS",10.1
"SE",7.5
"SI",8.7
"SK",11.8
"TR",73.5
